DepMap_ID,disease,lineage_lung_adenocarcinoma,lineage_lung_squamous_cell_carcinoma,lineage_colorectal,lineage_skin,lineage_pancreas,lineage_ovary,lineage_breast,exp_AKT1,exp_AKT2,exp_AREG,exp_BRAF,exp_CBL,exp_CBLB,exp_CDH1,exp_CDH2,exp_COL1A1,exp_DEPTOR,exp_DUSP4,exp_DUSP6,exp_EGF,exp_EGFR,exp_EIF4EBP1,exp_ELK1,exp_EPS15,exp_ERBB2,exp_ERBB3,exp_ERBB4,exp_EREG,exp_ETS1,exp_FN1,exp_FOS,exp_FOXO3,exp_GAB1,exp_GRB2,exp_GSK3B,exp_HRAS,exp_IFNGR1,exp_IFNGR2,exp_IL6ST,exp_IRS1,exp_IRS2,exp_ITGA5,exp_JAK1,exp_JAK2,exp_JAK3,exp_JUN,exp_KRAS,exp_LIMK1,exp_MAP2K1,exp_MAP2K2,exp_MAP3K1,exp_MAPK1,exp_MAPK14,exp_MAPK3,exp_MAPK8,exp_MEF2A,exp_MMP2,exp_MMP9,exp_MTOR,exp_NRAS,exp_PDPK1,exp_PIK3CA,exp_PIK3CB,exp_PIK3CD,exp_PIK3R1,exp_PIK3R3,exp_PTEN,exp_RAF1,exp_RHBDF1,exp_RPS6KB1,exp_RPTOR,exp_SHC1,exp_SMAD2,exp_SMAD3,exp_SMAD4,exp_SNAI1,exp_SNAI2,exp_SOCS1,exp_SOCS3,exp_SOS1,exp_SOS2,exp_SPRY1,exp_SPRY2,exp_SPRY4,exp_STAT1,exp_STAT3,exp_STAT5A,exp_STAT5B,exp_TGFB1,exp_TGFBR1,exp_TGFBR2,exp_TSC1,exp_TSC2,exp_TWIST1,exp_VIM,exp_ZEB1,exp_ZEB2,exp_SRC,prot_ARAF,prot_BRAF,prot_CDH1,prot_CDH2,prot_ERBB2,prot_ERBB3,prot_FN1,prot_GSK3B,prot_IRS1,prot_ITGA2,prot_JAK2,prot_MAPK1,prot_MAPK9,prot_MTOR,prot_NRAS,prot_PIK3CA,prot_PIK3R1,prot_PRKCA,prot_PTEN,prot_RPTOR,prot_SHC1,prot_SMAD3,prot_SMAD4,prot_SNAI1,prot_SOCS3,prot_STAT1,prot_STAT3,prot_STAT5A,prot_SYK,drug_Gefitinib,drug_Erlotinib,drug_Afatinib,drug_Trametinib,drug_Vemurafenib,drug_Dabrafenib,drug_Alpelisib,drug_Everolimus,drug_Buparlisib,drug_Ruxolitinib,drug_Napabucasin,drug_Baricitinib,drug_Kx2391,drug_Neratinib,drug_Repsox,prot_MYC,mut_BRAF,mut_KRAS,mut_EGFR,mut_PIK3CA,mut_PTEN,mut_NRAS,mut_ERBB2,mut_MAP2K1,mut_SMAD4,mut_TGFBR2,mut_JAK1,mut_JAK2,mut_STAT3,mut_TSC1,mut_TSC2
ACH-000007,Colorectal,0,0,1,0,0,0,0,2.848782469,2.784242338,2.96044013,1.927107224,1.915583117,2.072781459,3.076862966,0.112266467,0.409920351,1.93465492,2.348461292,2.708659755,0.447800666,2.251940504,2.68651487,2.273487041,2.3047957,2.839958869,2.988107998,0.003978596,2.362019027,0.629036222,1.326197357,3.257977324,2.112949015,1.822645962,2.590657097,2.380485591,2.423907354,2.753965831,2.48347764,2.254489195,2.223692626,2.362262201,0.309448947,2.637831711,1.639125693,0.078794792,2.826821626,2.44835713,2.42172173,2.511523649,2.663469314,2.072937874,2.673637577,2.477576985,2.812270626,2.493201506,2.185570161,0.188964039,0,2.428741741,2.466364669,2.357038968,1.88045445,2.239517044,0.449374826,2.503047678,1.800737754,2.442948994,2.703855899,2.556856423,2.443725271,1.867298888,2.88395048,2.787706178,1.969730178,2.500820642,1.388697584,0.067154979,0.030658565,0.277947251,2.152697153,1.970476659,2.360066878,2.921484805,2.335537583,2.624782144,2.653492795,1.665645048,2.308558868,2.196152512,2.118818922,2.663165673,2.384414665,2.639380618,0.073037175,1.326319973,1.079889267,0.127352353,4.182422164,0.063033,-0.213779,3.568206,0.192557,1.168224,0.966236,-1.374751,-0.387228,0.396077,1.562959,0.139305,-0.064598,0.384048,-0.110412,-0.152025,-0.280325,0.353456,-0.255857,0.4604,-0.062656,0.235373,0.055307,-0.005084,-0.057828,-0.458451,0.477973,-0.213139,-0.325821,4.000648,0.809181477,1,0.722454037,0.337851702,0.952308263,0.936021006,0.938802873,,0.783788259,0.97422453,0.689500262,0.840719934,0.537282081,0.708030008,0.828304184,0.019859,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000008,Skin,0,0,0,1,0,0,0,2.876495445,2.893429944,1.479211486,2.269557159,2.000395906,2.02331656,0.377839751,2.784124514,1.084570085,0.731252573,2.812450901,2.980990135,2.283447806,1.947986653,3.041558721,2.526993512,2.48247472,2.327041367,3.095473222,0.008540585,1.580133221,2.785335292,3.454633319,2.516222001,1.99285713,1.824565403,2.80043539,2.723273398,2.614322516,2.48564644,2.927491248,2.883271506,1.42684373,2.348693538,2.985543008,2.642188993,1.525994076,0.531597163,2.352958602,2.35073811,2.807328904,2.712343763,3.027200871,2.052487847,2.878445224,2.508734076,2.446206531,2.363991127,2.218538737,3.097579277,0.053389275,2.605752552,2.691732175,2.234426757,2.118519939,2.399285095,1.986355328,2.168297868,1.928138774,2.072533846,2.792498286,2.672881531,2.394172236,2.222592256,3.092289546,2.698338077,2.71158549,2.623557253,2.150043365,2.307461681,0.190887243,2.201150946,2.279160953,1.997621814,1.224596203,2.879354824,2.670704176,2.784274462,2.616940023,2.032206524,2.143776118,1.929478051,2.379047479,2.47871576,2.170402647,2.715794959,2.130083386,3.567748651,1.60568586,2.737103639,3.760412583,-0.166787,0.20574,-0.671003,0.221938,-0.360195,0.706331,2.27794,0.173145,-0.460168,0.269872,0.26704,0.316256,-0.360933,-0.156292,0.21174,0.014292,-0.011434,0.165119,-2.507389,-0.139116,-0.02075,0.068524,-0.000911,0.660776,0.088647,1.016163,0.352525,-0.417722,-0.343275,0.980043059,0.920641821,0.926543607,0.578622661,0.754775178,0.41981162,1,0.83624989,0.827957495,1,0.720682193,0.903836231,0.691137484,0.909140919,1,0.247979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000012,Lung Adenocarcinoma,1,0,0,0,0,0,0,2.812663783,2.898873798,3.116598979,1.979012352,2.110338131,1.773633385,3.262290109,0.888654054,2.145162947,0.761604203,1.680585499,2.170504698,0.315241294,3.409283495,2.981496704,2.228172828,2.558665197,2.560920991,2.538524331,0.024954132,2.962775053,3.012860754,2.948443124,2.87369932,2.319486294,2.106798059,2.670898898,2.624476905,2.548784124,2.473012872,2.483442155,2.764617632,2.313047371,1.199793646,2.822160854,2.975615296,1.344026173,1.225543837,3.010080832,2.495732658,2.644591787,2.907639161,2.770612581,2.054735256,2.676688457,2.481271065,2.4928535,2.61918144,2.138372118,1.085949491,1.990087149,2.430215379,2.807712862,2.320292691,2.099997062,2.449935481,1.505462843,1.880672861,1.886956179,2.592019699,2.668672505,2.255531923,2.584033014,2.120437987,2.808906871,2.662712421,2.807414383,2.622544609,1.896871571,2.327056732,0.528451137,2.255315354,2.230900005,2.052083533,2.04526114,2.213572643,1.222080073,2.835199503,2.765023665,1.5678492,2.403835502,2.377412656,2.323291113,2.677358096,2.374836377,2.654345138,0.167116191,3.006936529,1.627247442,0.898866323,5.370743196,-0.145946,-0.413545,4.213061,0.419084,0.868684,0.34937,0.562367,-0.734779,0.680151,2.437293,-0.232875,-0.324525,0.243813,-0.231759,-0.108334,-0.183055,-0.35149,0.31536,-0.079643,-0.134637,0.29509,0.317116,-0.210316,0.029703,0.099895,-0.181826,0.315629,-0.359992,2.013601,0.347400453,0.430120009,0.252881647,0.903595642,1,0.905234915,0.909413489,0.931062233,0.801545242,1,0.799241227,0.881583499,0.608413757,0.834419677,0.746189454,0.3083,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000013,Ovary,0,0,0,0,0,1,0,2.89590671,3.06779734,2.346756176,1.940396325,1.925145615,2.413532772,2.794689804,2.356852404,2.206331974,1.511232927,1.780599838,2.278035116,1.213473628,2.698527738,2.915117879,2.228504146,2.3459195,2.514153397,2.655331524,2.114872065,0.56387526,1.92167282,2.658596606,2.989043327,2.193113761,1.78089423,2.71701162,2.811481051,2.641200134,2.670893359,2.664635894,2.462009159,1.594227631,1.771681573,2.568558759,2.757955584,1.134403843,0.990303712,2.809891498,2.779691271,2.335654779,2.572345216,2.74197805,1.636490696,2.675322305,2.276122232,2.641038362,2.63299196,2.083878144,2.158852669,0.337934167,2.590228717,2.608148348,2.065579314,2.041979633,2.441196832,2.639067268,2.033859094,2.357218432,2.578420325,2.80459567,2.287526453,2.414218739,2.080841711,2.639488248,2.650004859,2.652020352,2.513315686,1.860073279,0.056381396,1.255337678,2.840737339,2.177911054,2.070406215,2.326487759,2.237497508,1.838146435,2.498014672,2.494941321,1.455138791,2.26252942,1.685588387,2.127918204,2.337162042,2.249369054,2.766978009,1.355299788,2.377628942,0.445226734,0.388615638,4.835727054,-1.297393,-1.038857,1.779586,0.031606,-0.0444,0.699595,1.258863,0.414577,-0.349618,-0.569191,-0.502005,0.197136,-0.943611,-0.174705,0.141259,-0.034011,-0.314842,-0.354415,-0.765177,-0.329585,0.21345,0.129253,0.149849,1.242108,0.631152,-0.664161,-0.277069,0.166046,2.000274,0.925409502,1,0.886605633,1,1,0.886404205,0.945760168,0.754609739,0.815294564,1,0.61270194,0.829992583,0.505276717,0.856758299,0.847410277,1.231075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000014,Skin,0,0,0,1,0,0,0,2.837763847,2.948962058,1.180801157,2.255025314,2.073757426,2.196421587,0.883029093,2.772302376,2.021960367,1.190186797,2.944433468,2.962055666,2.324826363,1.878118575,3.017807616,2.54560849,2.435576596,2.651195525,3.124391182,0.052832195,2.461717188,2.806937366,3.449074584,2.563046498,1.896140059,2.19925871,2.746778512,2.636659711,2.64923732,2.57462192,3.005482177,2.797626361,1.66071845,2.602057297,2.981498913,2.580617698,1.420847271,1.172604528,2.357150853,2.342260196,2.532842701,2.599599714,3.057786733,1.926907968,2.869212359,2.50664136,2.6441743,2.452152279,2.386881789,3.076216047,0.592051508,2.532909128,2.704938965,2.385302435,2.119061044,2.252506415,1.747080616,2.302707288,1.868862625,2.258952886,2.891585991,2.903847991,2.34227729,2.255197456,3.128608432,2.699478959,2.501197108,2.686144579,2.467372862,2.416190364,0.31533309,2.027497761,2.283236978,2.024608773,1.533652306,2.902886115,2.642925861,2.763342409,2.687511179,2.033238146,2.271013148,2.619604578,2.259000153,2.783759981,2.172133475,2.824750475,2.257750037,3.514378568,1.743036947,2.911992786,4.591487938,0.010667,0.262039,-1.172803,0.184301,0.021962,1.108285,1.621555,-0.125983,-0.253895,0.238441,-0.035822,-0.02066,-0.195474,0.306749,-0.03524,0.191596,0.43102,0.127098,-2.740255,0.031779,-0.231172,-0.189286,0.039759,0.556907,-0.062144,1.006572,0.31412,-0.267976,-1.353857,0.967002431,0.902783057,0.975722078,0.607877718,1,0.931194102,0.879021209,0.555330669,0.829981498,1,0.628423653,0.952246227,0.742281371,0.906151302,0.880605382,-0.219517,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000019,Breast,0,0,0,0,0,0,1,3.089437468,2.918440122,2.756072644,2.077919448,2.074927419,2.151774594,3.273360106,0.204926167,2.103759466,2.226802715,2.33639686,0.944882225,1.310683799,0.335674893,2.84998037,2.36268845,2.458039982,2.677646772,2.848599366,0.45814472,0.053408815,0.072479658,2.396415502,3.069184362,2.291366616,2.05946198,3.08164137,2.658040093,2.605853128,2.513173509,1.996822511,1.997032982,2.626762128,1.386510479,1.776145854,2.727867315,1.872928175,0.18488733,2.485208123,2.329205637,2.080967488,2.736081278,2.819669913,2.126992243,2.719829604,2.569127054,3.011717178,2.583629203,2.40238664,0.018822232,0.494225169,2.441267895,2.973687805,2.528268183,1.986951331,2.382549834,0.422448217,2.39295614,2.558249542,2.591510827,2.935875867,2.479076116,3.315055526,1.985062506,2.717960749,2.592391507,2.439729209,2.291840642,1.487243876,0.244921091,0.662577922,1.801937406,2.323754525,2.188760733,0.411246483,0.735950718,0.828276578,2.849273845,2.472908977,0.31351917,2.201035087,2.423265367,1.834618724,1.945087544,2.300277439,2.698851127,0.965986372,1.318337468,0.301620592,0.234575168,2.758727437,-0.562324,0.300839,3.720337,-0.37452,0.359732,0.762347,-0.880011,0.564119,1.337611,0.647915,-0.205491,0.288316,0.290125,0.100955,0.42545,0.036324,0.112828,-0.392765,0.998188,-0.219355,-0.158489,-0.198294,0.204719,0.18144,0.126938,-0.70646,-0.38986,0.039134,0.869514,0.952596608,1,0.869460782,0.936823812,0.920100074,0.93233729,0.905528626,0.834426758,0.820051927,0.990697214,0.561080978,0.90720797,0.483509093,0.867814332,0.880785662,-0.306885,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ACH-000021,Lung Adenocarcinoma,1,0,0,0,0,0,0,2.794697139,2.804834691,1.811975538,2.045757057,1.981119566,1.343438814,2.383969832,1.07453287,2.31506268,0.453299776,1.853243853,1.968535779,0.10951839,2.656221537,3.029198269,2.181279205,2.52424337,2.751190551,2.196633668,0.182493855,0.136985269,2.649938985,2.912584744,2.518397883,1.97146834,2.089342215,2.755740517,2.598946848,2.426081196,2.607562338,2.678639301,2.909907147,2.112489471,1.616599017,1.592960788,2.608255034,1.533350707,0.225069149,2.456863203,2.139721372,2.107376999,2.635002956,2.641828623,2.26911728,2.393703793,2.58282966,2.533027616,2.813880215,2.340762082,1.98669688,1.137895957,2.416918534,2.631830887,2.069889799,2.135188052,2.014981116,1.50741152,2.266715202,2.267741966,2.686004838,2.656866063,2.32912423,2.652416561,1.718577436,2.738565764,2.907886895,2.743293398,2.712747724,0.947636159,2.253968211,1.649157001,1.979516224,2.240633811,2.203400569,2.202121129,2.070248183,1.497499588,2.820645834,2.704292035,0.602977801,2.169941006,2.266792165,2.337727301,2.409660459,2.101900457,2.30172312,2.260540568,2.636077662,1.896227334,1.482563917,2.796533384,-0.856258,-0.076422,3.812306,-0.165451,2.278137,0.784732,1.596949,0.04323,0.823554,0.45017,-0.10499,0.141043,0.444162,0.429469,-0.022566,-0.015542,0.013663,0.181969,-0.046456,0.060355,0.812118,0.120915,-0.049613,-0.217407,0.172073,-0.30802,0.721434,0.098604,-1.826402,0.983128368,0.8123443,0.758462527,0.852311702,1,1,0.887149273,0.738221003,0.834433861,0.896208683,0.839086425,0.93235826,0.643555973,0.885972188,0.870978446,-0.664211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000022,Pancreas,0,0,0,0,1,0,0,2.928793248,2.688463016,1.853577966,1.881301899,2.04233979,1.895361369,3.116483745,0.292593835,0.532584021,2.346785071,1.823504632,2.706991682,0.008252054,2.107678053,2.995428422,2.034291306,2.139517349,2.571840179,3.025680717,0.077303571,1.62888645,1.92175232,1.599627423,3.185420888,2.126159187,2.092665102,2.508231092,2.553410135,2.677243774,2.696667293,2.590811068,2.128418212,2.225298239,1.822059677,0.507584244,2.347749135,0.953278227,0.082499883,2.445185961,2.275960579,2.102048362,2.692377227,2.544938635,2.101577727,2.596948875,2.52057796,2.876523014,2.513113551,2.316108043,0.893249763,0.010526728,2.226820049,2.414891558,2.45413847,2.179760211,2.427840759,0.281550994,2.380204129,1.360439041,2.525900063,2.806351223,2.528658345,2.152286898,1.796294563,2.625916521,2.688161441,2.486640203,0.543049339,0.408665601,0.032024563,0.978871838,0.767424659,2.321615739,2.027170922,2.571832228,2.680259083,2.261204836,2.61451553,2.279454407,1.402139617,2.109548894,2.345165337,2.295693019,2.821847476,2.330649726,2.654358605,0.54949705,1.372026728,0.71619051,0.296266882,6.372551681,-0.578115,-0.153793,3.829683,-0.342509,-0.048748,1.21923,-0.988017,0.102867,0.341567,1.434715,-0.215237,0.324479,-0.244154,-0.290388,0.238218,0.34013,0.597962,-0.019639,0.291788,-0.267064,0.631802,-0.073989,-0.08019,1.83632,0.061644,-0.229965,-0.071678,-0.046128,2.95858,0.805186074,1,0.709643205,0.641409804,1,1,0.818602119,0.90810129,0.8331527,1,0.774019726,1,0.759255848,0.782865605,0.795326615,0.30951,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000023,Pancreas,0,0,0,0,1,0,0,2.997275838,2.817708994,0.709211321,2.078152904,2.465398968,1.573790649,0.453870382,2.270103141,0.489081821,1.173613931,2.331345342,2.616385026,0,2.839044891,3.063727855,2.609754233,2.475357603,2.512062979,1.731615904,0.057795715,0.091669562,3.13661867,2.189920723,1.289906926,2.290370647,1.81258959,2.618024537,2.714360008,2.893536778,2.578174984,2.480824657,2.702557853,1.766449855,1.750266997,2.1505206,2.557889373,1.455993727,0.131824825,2.792441547,2.267613026,2.508995851,2.655960615,2.903436955,1.859790743,2.773828378,2.640443486,2.686246162,2.808138833,2.113784011,0.068090548,0.06616448,2.479124652,2.689189971,2.367116121,2.26079139,2.495842151,1.803698174,2.052282914,1.304967447,2.6047791,2.965731806,2.229072845,2.63159295,1.784469978,3.247724875,2.914252711,2.541804365,0.283133287,0.93492965,1.779696368,0.240496311,1.592911339,2.321057953,2.094322334,1.082988329,2.501635467,2.185022487,2.757253247,2.806000643,0.677043327,2.264193297,2.47775791,2.426129743,2.407803021,2.456329693,2.486687515,0,3.157141228,2.093766207,0.52195157,4.654630301,-0.162074,-0.124153,0.12518,-0.379521,0.167053,0.033359,-1.188888,0.335145,0.367332,0.12373,-0.297219,-0.151923,-0.10469,-0.04769,0.004635,0.421268,0.228739,-0.104635,0.065245,-0.726695,0.278774,-0.190875,-0.169746,-0.284992,-0.58931,0.1206,-0.12089,0.19056,-1.104535,0.977515532,0.939582076,0.888819521,0.882320445,1,0.949268578,0.906284705,0.768263114,0.818347232,0.944566149,0.650952728,0.865939799,0.591160141,0.85021785,0.9172492,-0.440899,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACH-000030,Lung Adenocarcinoma,1,0,0,0,0,0,0,2.828657789,2.812709246,2.331686276,2.076677317,2.053148299,1.995043657,2.851734365,1.62597901,2.120604332,0.246950131,2.672553033,2.473670561,2.022717812,2.898914731,2.808821446,2.150103054,2.472105368,2.568111355,2.718802247,0.102990026,1.434558499,2.226993339,2.463476306,3.3650095,2.481303703,2.211834724,2.660475718,2.487921038,2.505147565,2.511410053,2.272886163,2.435190817,2.162729704,2.103845597,2.391081196,2.702581013,1.091706749,1.244817176,2.981624822,2.402807913,2.850476314,2.814800096,2.768469738,2.004854396,2.589468132,2.477562821,2.866440095,2.735012101,2.262909578,0.810413539,0.062588936,2.422469014,2.564231109,2.40164146,2.268039565,2.386234434,1.370709354,1.672960499,2.330442014,2.364456046,2.792098866,2.502189008,2.363881635,2.065406632,2.907718611,2.700963265,2.617830122,2.471248145,1.393890397,1.85321184,0.90195644,2.241032949,2.15630229,1.849980753,1.878905472,2.30784503,1.816459925,2.404641504,2.592773361,1.24459965,1.839823733,2.477827105,2.029166867,2.549752194,2.323412856,2.655319782,0.932035363,2.157999375,0.960224734,0.279362344,4.701488065,-0.422359,0.068203,2.246813,-0.404171,-0.169274,0.621346,-0.774252,0.361302,0.249268,1.178534,-0.415492,0.059763,-0.049079,0.246613,-0.0832,-0.047434,-0.468191,-0.151897,-0.903421,0.108307,0.195725,-0.085378,-0.073103,0.128232,0.022343,0.013473,-0.117134,-0.114893,1.760577,0.713458118,0.697105991,0.469001973,0.824651956,0.924769335,0.700958329,0.979533125,0.740102646,,,0.625245661,0.954701633,,0.886105612,0.736964054,0.236529,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
